Fecha,Tipo,Categoría,Descripción,Método de Pago,Monto
22/09/2026,Gasto,Combustible,"Combustible Vitz 2010",,2600
22/09/2026,Gasto,Otros,"Bravo",,104
22/09/2026,Gasto,Donaciones,"Garita, Seguridad",,200
22/09/2026,Gasto,Salud,"Farmacia Medicamiento para la piel",,247
22/09/2026,Gasto,Compras,"Tina Mall",,500
22/09/2026,Gasto,Otros,"Madresita del alma querida",,3500
22/09/2026,Gasto,Otros,"Ret. VISA ABPHNM - RETIRO CAJERO - Ref. 199212",Tarjeta,2500
21/09/2026,Gasto,Otros,"Pago Total a Elizabeth",,4670
19/09/2026,Gasto,Transporte,"Cambio Cristal Toyota Vitz 2010 y Rivetes",,11500
19/09/2026,Gasto,Restaurantes,"Pizzeria del Malecon",,3715
19/09/2026,Gasto,Transporte,"Correa Toyota Vitz 2010",,700
16/09/2026,Gasto,Apartamento,"Pago Apartamento",,23000
15/09/2026,Ingreso,Ingreso Colateral,"Ingreso Combustible",Efectivo,10000
15/09/2026,Ingreso,Nómina,"Credito Nomina Empresarial",Transferencia,50000
14/09/2026,Gasto,Transporte,"Trasnporte a Santiago, Jesus",,500
29/05/2026,Gasto,Compras,"LA SIRENA AUT DUAR-FEC. ORIG: 20260527",Tarjeta,58.8
29/05/2026,Ingreso,Nómina,"Credito Nomina Empresarial",Transferencia,31984.56
29/05/2026,Gasto,Transporte,"Cremallera, Lucho",Transferencia,2500
28/05/2026,Gasto,Restaurantes,"LA CASA DEL CALDO-FEC. ORIG: 20260522",Tarjeta,650
28/05/2026,Gasto,Otros,"Ret. VISA ABPHNM - RETIRO CAJERO - Ref. 847355",Tarjeta,6900
27/05/2026,Gasto,Otros,"MEGA MALL-FEC. ORIG: 20260525",Tarjeta,1466.26
27/05/2026,Gasto,Combustible,"TOTAL JACOBO-FEC. ORIG: 20260525 MOTOCICLETA",Tarjeta,500
26/05/2026,Gasto,Combustible,"JACOBO CENTRO-FEC. ORIG: 20260524",Tarjeta,1935
25/05/2026,Gasto,Transporte,"Rep. Cremallera Nissan",Transferencia,3000
25/05/2026,Gasto,Combustible,"TOTAL JACOBO-FEC. ORIG: 20260521",Tarjeta,2627.3
25/05/2026,Gasto,Otros,"POLICIA NACIONAL-W-FEC. ORIG: 20260522",Tarjeta,100
25/05/2026,Gasto,Otros,"Compra Cámara Parqueo",Transferencia,1250
22/05/2026,Gasto,Servicios,"GOOGLE *Google One-FEC. ORIG: 20260519",Transferencia,302.39
22/05/2026,Gasto,Otros,"PAGO UNIVERSIDAD - UNICARIBE PP-FEC. ORIG: 20260519",Transferencia,3950
20/05/2026,Gasto,Otros,"Ret. VISA ABPHNM - RETIRO CAJERO - Ref.57805",Tarjeta,8900
20/05/2026,Gasto,Otros,"PROCURADURIA - 948-FEC. ORIG: 20260518",Transferencia,1670
19/05/2026,Gasto,Otros,"SUPER RICO LOS FUE-FEC. ORIG: 20260517",Tarjeta,200
19/05/2026,Gasto,Otros,"Arandela bomba hidráulica",Tarjeta,1000
18/05/2026,Gasto,Servicios,"CLARO:8495351578",Transferencia,100
18/05/2026,Gasto,Transporte,"Compra Motor Gacela Tekke",Transferencia,90135
18/05/2026,Gasto,Otros,"Ret. VISA ABPHNM - RETIRO CAJERO 1076371 - 1076372",Tarjeta,4900
18/05/2026,Gasto,Combustible,"TOTAL JACOBO-FEC. ORIG: 20260515",Tarjeta,4893.6
15/05/2026,Ingreso,Nómina,"Credito Nomina Empresarial",Transferencia,50000
15/05/2026,Gasto,Otros,"BAEZ HENRIQUEZ, -Forro Guitarra",Transferencia,5000
14/05/2026,Gasto,Compras,"BRAVO JACOBO MAJLU-FEC. ORIG: 20260512",Tarjeta,169
14/05/2026,Gasto,Salud,"LOS HIDALGOS SIREN-FEC. ORIG: 20260512",Tarjeta,34.97
14/05/2026,Gasto,Compras,"JUMBO PATIO EMBAJA-FEC. ORIG: 20260512",Tarjeta,818.9
14/05/2026,Gasto,Compras,"LA SIRENA AUT DUAR-FEC. ORIG: 20260512",Tarjeta,280
12/05/2026,Gasto,Apartamento,"Pago Residencial Jardines del Arroyo A12 402, 2026 Mayo",Transferencia,24000
11/05/2026,Gasto,Combustible,"TOTAL JACOBO-FEC. ORIG: 20260507",Efectivo,2561.2
11/05/2026,Gasto,Transporte,"Bujía Nissan Altima 2012",Transferencia,1800
08/05/2026,Gasto,Compras,"BRAVO JACOBO MAJLU-FEC. ORIG: 20260506",Efectivo,638
05/05/2026,Gasto,Otros,"GRUPO VE+ 58-FEC. ORIG: 20260502",Efectivo,550
05/05/2026,Gasto,Transporte,"SOL AUTOMOT ORTEG-FEC. ORIG: 20260502",Tarjeta,5569.08
05/05/2026,Gasto,Compras,"LA SIRENA AUT DUAR-FEC. ORIG: 20260430",Tarjeta,365
05/05/2026,Gasto,Otros,"Pegaran que (NO SE LO QUE ES ESTO)",Efectivo,240
05/05/2026,Gasto,Otros,"Ret. VISA ABPHNM - 498356",Tarjeta,5900
05/05/2026,Gasto,Combustible,"PROPAGAS CALLE MOC-FEC. ORIG: 20260502",Tarjeta,2338
01/05/2026,Gasto,Otros,"Ret. VISA ABPHNM - RETIRO CAJERO 699151",Tarjeta,7900
01/05/2026,Ingreso,Ingreso Colateral,"BOLETOS VARIOS",Transferencia,6000
01/05/2026,Gasto,Otros,"SERENA-FEC. ORIG: 20260429 (NO LA RECONOSCO)",Efectivo,1500
01/05/2026,Gasto,Otros,"FCIA MEDICAR GBC J-FEC. ORIG: 20260429",Tarjeta,2950.62
